method,period,age_sq,age,ln_exp,constant,r2_polynomial,n_obs,n_households,r2,age_sq_se,age_se,ln_exp_se,r2_within,model_obj,time_effects,r2_between,age_sq_mean,age_mean,ln_exp_mean,age_sq_mean_se,age_mean_se,ln_exp_mean_se
Blanchett-style,2001-2009,0.00014290133946907686,-0.02175580906883857,-0.0735288058434294,1.5913897635501837,0.1944804204374907,8664,3168,,,,,,,,,,,,,,
Pooled OLS,2001-2009,0.00011009235138229701,-0.019996093814331675,-0.1761624895794944,2.7109637211054465,,8664,3168,0.16397734239525819,4.132558201326282e-05,0.0060303757353805405,0.005003498484037995,,,,,,,,,,
Fixed Effects,2001-2009,-0.0014288807821190414,0.1873469061124643,-0.5737610761865796,,,8664,3168,,2.7201518003218637e-05,0.0030210287811093415,0.008528233355110193,0.5629151136283681,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.5629
Estimator:                   PanelOLS   R-squared (Between):             -3.3256
No. Observations:                8664   R-squared (Within):               0.5629
Date:                Tue, Feb 10 2026   R-squared (Overall):             -0.8805
Time:                        12:32:42   Log-likelihood                    4200.1
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      3537.8
Entities:                        3168   P-value                           0.0000
Avg Obs:                       2.7348   Distribution:                  F(2,5494)
Min Obs:                       1.0000                                           
Max Obs:                       4.0000   F-statistic (robust):             2270.4
                                        P-value                           0.0000
Time periods:                       4   Distribution:                  F(2,5494)
Avg Obs:                       2166.0                                           
Min Obs:                       2107.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq         -0.0014   2.72e-05    -52.529     0.0000     -0.0015     -0.0014
age_int         0.1873     0.0030     62.014     0.0000      0.1814      0.1933
ln_spending    -0.5738     0.0085    -67.278     0.0000     -0.5905     -0.5570
===============================================================================

F-test for Poolability: 2.6272
P-value: 0.0000
Distribution: F(3167,5494)

Included effects: Entity",False,,,,,,,
Random Effects,2001-2009,0.00014681970685552273,-0.026874790836415047,-0.24723594083936348,,,8664,3168,,4.501729577358344e-05,0.006580945066990284,0.00589833832118512,0.3891510869535181,"                        RandomEffects Estimation Summary                        
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.2361
Estimator:              RandomEffects   R-squared (Between):             -0.2761
No. Observations:                8664   R-squared (Within):               0.3892
Date:                Tue, Feb 10 2026   R-squared (Overall):              0.1373
Time:                        12:32:42   Log-likelihood                    1005.7
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      892.29
Entities:                        3168   P-value                           0.0000
Avg Obs:                       2.7348   Distribution:                  F(3,8660)
Min Obs:                       1.0000                                           
Max Obs:                       4.0000   F-statistic (robust):             589.45
                                        P-value                           0.0000
Time periods:                       4   Distribution:                  F(3,8660)
Avg Obs:                       2166.0                                           
Min Obs:                       2107.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
const           3.7545     0.2491     15.075     0.0000      3.2663      4.2427
age_sq          0.0001  4.502e-05     3.2614     0.0011   5.858e-05      0.0002
age_int        -0.0269     0.0066    -4.0837     0.0000     -0.0398     -0.0140
ln_spending    -0.2472     0.0059    -41.916     0.0000     -0.2588     -0.2357
===============================================================================",,-0.27605048163619395,,,,,,
Fixed Effects (time),2001-2009,,,-0.5841104825633071,,,8664,3168,,,,0.010205496210629732,0.36164508890538605,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.5812
Estimator:                   PanelOLS   R-squared (Between):             -7.0482
No. Observations:                8664   R-squared (Within):               0.3616
Date:                Tue, Feb 10 2026   R-squared (Overall):             -2.3421
Time:                        12:32:42   Log-likelihood                    4432.9
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      3809.6
Entities:                        3168   P-value                           0.0000
Avg Obs:                       2.7348   Distribution:                  F(2,5491)
Min Obs:                       1.0000                                           
Max Obs:                       4.0000   F-statistic (robust):             1642.8
                                        P-value                           0.0000
Time periods:                       4   Distribution:                  F(2,5491)
Avg Obs:                       2166.0                                           
Min Obs:                       2107.0                                           
Max Obs:                       2196.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq         -0.0007  8.003e-05    -9.0637     0.0000     -0.0009     -0.0006
age_int         0.1383     0.0061     22.553     0.0000      0.1263      0.1503
ln_spending    -0.5841     0.0102    -57.235     0.0000     -0.6041     -0.5641
===============================================================================

F-test for Poolability: 2.8638
P-value: 0.0000
Distribution: F(3170,5491)

Included effects: Entity, Time",True,,,,,,,
Blanchett-style,2005-2021,0.00014345256935724586,-0.020992376044400806,-0.0552442118374831,1.3362262222694672,0.41517876162302025,17993,4624,,,,,,,,,,,,,,
Pooled OLS,2005-2021,5.4762344744979134e-05,-0.009987463687350918,-0.14410632416756264,1.937828124267394,,17993,4624,0.13002850795351806,2.4273570564398086e-05,0.0035442331067887497,0.003337448899746763,,,,,,,,,,
Fixed Effects,2005-2021,-7.4397956394163026e-06,-0.00890265847826345,-0.5014664209729247,,,17993,4624,,4.0759373064571145e-05,0.00593680465918771,0.005583026931519396,0.4641584755848598,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4642
Estimator:                   PanelOLS   R-squared (Between):             -1680.2
No. Observations:               17993   R-squared (Within):               0.4642
Date:                Tue, Feb 10 2026   R-squared (Overall):             -645.01
Time:                        12:32:42   Log-likelihood                    7846.2
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      3859.3
Entities:                        4624   P-value                           0.0000
Avg Obs:                       3.8912   Distribution:                 F(3,13366)
Min Obs:                       1.0000                                           
Max Obs:                       9.0000   F-statistic (robust):             2711.7
                                        P-value                           0.0000
Time periods:                       9   Distribution:                 F(3,13366)
Avg Obs:                       1999.2                                           
Min Obs:                       1565.0                                           
Max Obs:                       2192.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq       -7.44e-06  4.076e-05    -0.1825     0.8552  -8.733e-05   7.245e-05
age_int        -0.0089     0.0059    -1.4996     0.1337     -0.0205      0.0027
ln_spending    -0.5015     0.0056    -89.820     0.0000     -0.5124     -0.4905
===============================================================================

F-test for Poolability: 2.6832
P-value: 0.0000
Distribution: F(4623,13366)

Included effects: Entity",False,,,,,,,
Random Effects,2005-2021,4.591284138378554e-05,-0.00951203764255395,-0.204363996590168,,,17993,4624,,2.5934641419633515e-05,0.0037866807776239988,0.003828490656115974,0.3014304597683256,"                        RandomEffects Estimation Summary                        
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.1861
Estimator:              RandomEffects   R-squared (Between):             -0.2643
No. Observations:               17993   R-squared (Within):               0.3014
Date:                Tue, Feb 10 2026   R-squared (Overall):              0.1071
Time:                        12:32:42   Log-likelihood                    2929.6
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      1370.7
Entities:                        4624   P-value                           0.0000
Avg Obs:                       3.8912   Distribution:                 F(3,17989)
Min Obs:                       1.0000                                           
Max Obs:                       9.0000   F-statistic (robust):             951.24
                                        P-value                           0.0000
Time periods:                       9   Distribution:                 F(3,17989)
Avg Obs:                       1999.2                                           
Min Obs:                       1565.0                                           
Max Obs:                       2192.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
const           2.5741     0.1441     17.869     0.0000      2.2917      2.8565
age_sq       4.591e-05  2.593e-05     1.7703     0.0767  -4.922e-06   9.675e-05
age_int        -0.0095     0.0038    -2.5120     0.0120     -0.0169     -0.0021
ln_spending    -0.2044     0.0038    -53.380     0.0000     -0.2119     -0.1969
===============================================================================",,-0.2642720719087588,,,,,,
Fixed Effects (time),2005-2021,,,-0.5062751910715513,,,17993,4624,,,,0.0064407067608500115,0.3471931115481086,"                          PanelOLS Estimation Summary                           
================================================================================
Dep. Variable:       pct_change_total   R-squared:                        0.4700
Estimator:                   PanelOLS   R-squared (Between):             -982.74
No. Observations:               17993   R-squared (Within):               0.3472
Date:                Tue, Feb 10 2026   R-squared (Overall):             -375.86
Time:                        12:32:42   Log-likelihood                    7959.1
Cov. Estimator:             Clustered                                           
                                        F-statistic:                      3948.1
Entities:                        4624   P-value                           0.0000
Avg Obs:                       3.8912   Distribution:                 F(3,13358)
Min Obs:                       1.0000                                           
Max Obs:                       9.0000   F-statistic (robust):             2067.0
                                        P-value                           0.0000
Time periods:                       9   Distribution:                 F(3,13358)
Avg Obs:                       1999.2                                           
Min Obs:                       1565.0                                           
Max Obs:                       2192.0                                           
                                                                                
                              Parameter Estimates                              
===============================================================================
             Parameter  Std. Err.     T-stat    P-value    Lower CI    Upper CI
-------------------------------------------------------------------------------
age_sq      -4.399e-06  4.732e-05    -0.0930     0.9259  -9.715e-05   8.836e-05
age_int         0.0111     0.0073     1.5180     0.1290     -0.0032      0.0255
ln_spending    -0.5063     0.0064    -78.606     0.0000     -0.5189     -0.4937
===============================================================================

F-test for Poolability: 2.7472
P-value: 0.0000
Distribution: F(4631,13358)

Included effects: Entity, Time",True,,,,,,,
