spec_name,n_households,age_sq,age,ln_exp,ln_exp_se,ln_exp_pval,constant,r2,mean_change,age_sq_ratio,age_ratio,ln_exp_ratio,r2_ratio,spending_var,retirement_filter,age_assignment,annualization,change_filter,min_n_per_age,age_min,age_max,ln_spending_def,n_ages
PRIMARY_baseline_ln,518,1.1374810277840609e-05,-0.0022157233174982995,-0.03762360984877838,0.004384239479370331,1.113921496249552e-16,0.47282127555925985,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,5.700546946784604,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,baseline,26
ln_def_baseline,518,1.1374810277840609e-05,-0.0022157233174982995,-0.03762360984877838,0.004384239479370331,1.113921496249552e-16,0.47282127555925985,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,5.700546946784604,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,baseline,26
ln_def_mean,518,1.1374810277840609e-05,-0.0022157233174982995,-0.00600820927590687,0.005344708836335033,0.26147769568791834,0.13667651184095217,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,0.9103347387737681,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,mean,26
ln_def_lagged,518,1.1374810277840609e-05,-0.0022157233174982995,-0.015608113917089826,0.005216837964177333,0.002905891664881106,0.23759380726382195,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,2.36486574501361,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,lagged,26
retirement_strict,318,1.0965092690983784e-05,-0.002295816432221154,-0.038833765008055424,0.005019512210317302,1.4049599233982305e-13,0.4911245186829661,0.10773646111557333,-0.02572427398183947,0.13706365863729728,0.1836653145776923,5.883903789099307,0.32647412459264646,cstot,strict,end,geometric,50_only,10,60,85,baseline,25
retirement_baseline,341,-9.714438392489782e-05,0.013814209825725916,-0.042979496477240864,0.0053048518234472585,1.005211850736431e-14,-0.06031806597088046,0.058332365670572206,-0.02694614157334702,-1.2143047990612226,-1.1051367860580732,6.512044920794071,0.1767647444562794,cstot,baseline,end,geometric,50_only,10,60,85,baseline,26
retirement_permissive,518,1.1374810277840609e-05,-0.0022157233174982995,-0.03762360984877838,0.004384239479370331,1.113921496249552e-16,0.47282127555925985,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,5.700546946784604,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,baseline,26
age_assign_start,504,0.000117978139853653,-0.017314405003846553,-0.02736971406432229,0.004356807599600536,7.271226386961779e-10,0.8918589409318705,0.18420535476534383,-0.02671403853914776,1.4747267481706625,1.3851524003077242,4.146926373382165,0.5581980447434661,cstot,permissive,start,geometric,50_only,10,60,85,baseline,26
age_assign_mid,510,4.027337624350067e-05,-0.006281291835001909,-0.034663743318624415,0.004200421262549552,1.3555467828419873e-15,0.582021415137312,0.07234570289347875,-0.026140461262533405,0.5034172030437584,0.5025033468001527,5.2520823210037,0.21922940270751134,cstot,permissive,mid,geometric,50_only,10,60,85,baseline,26
age_assign_end,518,1.1374810277840609e-05,-0.0022157233174982995,-0.03762360984877838,0.004384239479370331,1.113921496249552e-16,0.47282127555925985,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,5.700546946784604,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,baseline,26
annualization_geometric,518,1.1374810277840609e-05,-0.0022157233174982995,-0.03762360984877838,0.004384239479370331,1.113921496249552e-16,0.47282127555925985,0.08341359245932267,-0.025654336731562147,0.1421851284730076,0.17725786539986396,5.700546946784604,0.2527684619979475,cstot,permissive,end,geometric,50_only,10,60,85,baseline,26
